 written on  4Feb2026 at 20:16:25 
          28
          45
    2    2    2    2    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2
   -4   -2    0    1    1    0.000492   -0.000010
   -4   -2    0    2    1    0.000165    0.000028
   -4   -2    0    3    1    0.000337    0.000001
   -4   -2    0    4    1   -0.000123   -0.000017
   -4   -2    0    5    1    0.000612    0.000001
   -4   -2    0    6    1    0.000286    0.000022
   -4   -2    0    7    1    0.000174    0.000000
   -4   -2    0    8    1   -0.001271   -0.000058
   -4   -2    0    9    1    0.000620    0.000003
   -4   -2    0   10    1   -0.001441   -0.000005
   -4   -2    0   11    1    0.000264    0.000008
   -4   -2    0   12    1   -0.000483   -0.000003
   -4   -2    0   13    1    0.001218   -0.000019
   -4   -2    0   14    1   -0.000121   -0.000011
   -4   -2    0   15    1    0.001782    0.000005
   -4   -2    0   16    1    0.000400    0.000028
   -4   -2    0   17    1    0.000871   -0.000014
   -4   -2    0   18    1   -0.000371    0.000000
   -4   -2    0   19    1   -0.000090    0.000030
   -4   -2    0   20    1   -0.000117   -0.000006
   -4   -2    0   21    1    0.000264   -0.000001
   -4   -2    0   22    1    0.001346    0.000007
   -4   -2    0   23    1    0.000826   -0.000005
   -4   -2    0   24    1    0.000771    0.000002
   -4   -2    0   25    1    0.000087    0.000015
   -4   -2    0   26    1    0.000537    0.000014
   -4   -2    0   27    1   -0.001760   -0.000012
   -4   -2    0   28    1   -0.001596   -0.000065
   -4   -2    0    1    2    0.001326    0.000067
   -4   -2    0    2    2    0.000118   -0.000035
   -4   -2    0    3    2   -0.000097   -0.000007
   -4   -2    0    4    2   -0.000470   -0.000036
   -4   -2    0    5    2    0.001831    0.000310
   -4   -2    0    6    2   -0.000503   -0.000044
   -4   -2    0    7    2   -0.000083   -0.000026
   -4   -2    0    8    2   -0.002364    0.000196
   -4   -2    0    9    2    0.000884   -0.000018
   -4   -2    0   10    2    0.001298   -0.000187
