  0.00000000E+00 -0.13420097E+02
  0.47097009E-02 -0.13422573E+02
  0.94194018E-02 -0.13428406E+02
  0.14129103E-01 -0.13435092E+02
  0.18838804E-01 -0.13442047E+02
  0.23548505E-01 -0.13449111E+02
  0.28258205E-01 -0.13456226E+02
  0.32967906E-01 -0.13463365E+02
  0.37677607E-01 -0.13470513E+02
  0.42387308E-01 -0.13477659E+02
  0.47097009E-01 -0.13484798E+02
  0.51806710E-01 -0.13491924E+02
  0.56516411E-01 -0.13499034E+02
  0.61226112E-01 -0.13506123E+02
  0.65935813E-01 -0.13513188E+02
  0.70645514E-01 -0.13520227E+02
  0.75355215E-01 -0.13527235E+02
  0.80064916E-01 -0.13534211E+02
  0.84774616E-01 -0.13541151E+02
  0.89484317E-01 -0.13548053E+02
  0.94194018E-01 -0.13554913E+02
  0.98903719E-01 -0.13561730E+02
  0.10361342E+00 -0.13568501E+02
  0.10832312E+00 -0.13575224E+02
  0.11303282E+00 -0.13581895E+02
  0.11774252E+00 -0.13588513E+02
  0.12245222E+00 -0.13595075E+02
  0.12716192E+00 -0.13601579E+02
  0.13187163E+00 -0.13608023E+02
  0.13658133E+00 -0.13614404E+02
  0.14129103E+00 -0.13620722E+02
  0.14600073E+00 -0.13626973E+02
  0.15071043E+00 -0.13633157E+02
  0.15542013E+00 -0.13639271E+02
  0.16012983E+00 -0.13645314E+02
  0.16483953E+00 -0.13651284E+02
  0.16954923E+00 -0.13657181E+02
  0.17425893E+00 -0.13663002E+02
  0.17896863E+00 -0.13668747E+02
  0.18367834E+00 -0.13674415E+02
  0.18838804E+00 -0.13680005E+02
  0.19309774E+00 -0.13685515E+02
  0.19780744E+00 -0.13690945E+02
  0.20251714E+00 -0.13696295E+02
  0.20722684E+00 -0.13701564E+02
  0.21193654E+00 -0.13706752E+02
  0.21664624E+00 -0.13711857E+02
  0.22135594E+00 -0.13716880E+02
  0.22606564E+00 -0.13721820E+02
  0.23077534E+00 -0.13726677E+02
  0.23548505E+00 -0.13731451E+02
  0.24019475E+00 -0.13736142E+02
  0.24490445E+00 -0.13740749E+02
  0.24961415E+00 -0.13745272E+02
  0.25432385E+00 -0.13749711E+02
  0.25903355E+00 -0.13754067E+02
  0.26374325E+00 -0.13758338E+02
  0.26845295E+00 -0.13762526E+02
  0.27316265E+00 -0.13766629E+02
  0.27787235E+00 -0.13770647E+02
  0.28258205E+00 -0.13774581E+02
  0.28729176E+00 -0.13778429E+02
  0.29200146E+00 -0.13782193E+02
  0.29671116E+00 -0.13785871E+02
  0.30142086E+00 -0.13789463E+02
  0.30613056E+00 -0.13792969E+02
  0.31084026E+00 -0.13796389E+02
  0.31554996E+00 -0.13799722E+02
  0.32025966E+00 -0.13802968E+02
  0.32496936E+00 -0.13806126E+02
  0.32967906E+00 -0.13809196E+02
  0.33438876E+00 -0.13812177E+02
  0.33909847E+00 -0.13815069E+02
  0.34380817E+00 -0.13817872E+02
  0.34851787E+00 -0.13820584E+02
  0.35322757E+00 -0.13823206E+02
  0.35793727E+00 -0.13825736E+02
  0.36264697E+00 -0.13828174E+02
  0.36735667E+00 -0.13830520E+02
  0.37206637E+00 -0.13832773E+02
